Search Term,Username,Handle,PostDate,Content,Comments,Retweets,Likes
COVID,Heirloom,@SendHeirloom,2021-02-10T14:48:58.000Z,"Sister Andr is the second-oldest person in the entire world. Shes about to turn 117 and has just survived #covid. This woman is incredible. #elderly #coronavirus @washingtonpostA French nun survived the Spanish flu and both world wars. Now shes beaten covid-19 days before...In the days leading up to her 117th birthday, Sister Andr survived covid and holds on to her title as second-oldest person alive.washingtonpost.com",,,
,,,,,,,
COVID,Jodye Flacko,@DeviantImmortal,2021-02-10T14:48:45.000Z,"$ENZC I\'ve seen this before. MM\'s fuck with the price, causing people to be emotional, then the next day PR drops. They know what\'s coming and they will trigger stop losses at any moment.Why would you sell when we have the treatment for #HIV #COVID and other diseases?Quote TweetUncle Billy McBride@UncleBillyMoney  5m$ENZCThere are 93 patent applications and 39 granted patents matching the keywords ""Clone3"".Universal Donor Cells and Related Methods 29 human cancer associated proteins",,,2
,,,,,,,
COVID,Empress Penni,@empresspenni,2021-02-10T14:48:25.000Z,"Interesting read for CA employers!#California#COVID#OSHACal/OSHA Updates Online Resources for California Employers | JD SupraAs many California companies work diligently to comply with the recently issued COVID-19 Emergency Temporary Standards (ETS), the California Division...cvsoci.al",,,
,,,,,,,
COVID,Unicef UK Media,@Unicefuk_media,2021-02-10T14:48:14.000Z,"JOINT STATEMENT @UNICEF & @WHO on #COVID #VACCINE race | As of today, almost 130 countries, with 2.5 bn people, are yet to administer a single dose. This self-defeating strategy will cost lives and livelihoods..."" Read moreIn the COVID-19 vaccine race, we either win together or lose together - Unicef UKOf the 128 million vaccine doses administered so far, more than three quarters of those vaccinations are in just 10 countries that account for 60% of global GDPunicef.org.uk",,,1
,,,,,,,
COVID,Conquer Coronavirus,@ConquerCovid_19,2021-02-10T14:48:12.000Z,"Although #covidvaccines are being used globally,  many challenges remain. Immune senescence & comorbidities in aging people and immune dysregulation in those in low-resource settings may impede #covid vaccine effectiveness. Distribution of vaccines for those remains challenging.",,,1
,,,,,,,
COVID,presshub_us,@PresshubU,2021-02-10T14:48:09.000Z,CU Boulders apartments for upperclassmen to accept new mix of students this fall due to  #COVID-19 impactsCU Boulders apartments for upperclassmen to accept new mix of students this fall due to COVID-19...CU Boulders apartments for upperclassmen to accept new mix of students this fall due to COVID-19 impactspresshub.gr,,,
,,,,,,,
Corona,Mindy Best,@authormindybest,2021-02-10T14:48:10.000Z,"Pretty sure everyone can relate to this letter... but, youll have to read it to find out. @vocalmedia #COVID19 #COVID19 #coronavirus #letter #WritingCommnunity #author #QuarantineLife #Quarantine #writing #Survivor #LifeGoesOn #MaskUp #Corona #pandemicHate, its appropriateAn open letter to Coronavirus.vocal.media",,,
,,,,,,,
Corona,nishtha,@nishtha41350319,2021-02-10T14:47:37.000Z,This has to be viral let's take off mask bring actually people behind the kit. Please see this video @BharadwajSpeaks @ishkarnBHANDARI @republic @BobBlackman @KanganaTeam #kooapp #GretaThunbergExposed #Corona #PMInLokSabha  #ArnabGoswami #NationalistIndian #AndhBhakts #ModiQuote TweetThe String@StringReveals  1hHon'ble @narendramodi ji @HMOIndia @MEAIndia @NIA_India @dir_ed MY LIFE'LL BE IN DANGER AFTER THIS VIDEO & ONLY U CAN SAVE ME.#StringReveals has #StringedDeshdrohis & exposed the #RealGodiMedia & their #MoneyTrail.REFER-https://twitter.com/missanabeem/status/1356202957793087488VID:https://youtu.be/2EBlQ6lc_RE1/3Show this thread,,,1
,,,,,,,
Corona,Frukta Gud,@Frukta_Gud,2021-02-10T14:46:25.000Z,"The LORD shall smite thee with a consumption, and with a fever, and with an inflammation, and with an extreme burning, and with the sword, and with blasting, and with mildew; and they shall pursue thee until thou perish.Deut 28:22 - KJV #Corona#Covid19Nya brittiska mutationer oroar: Skulle kunna undg immunitetTv nya coronamutationer har upptckts i Storbritannien. En av dem vcker nu forskarnas oro.  Det verkar som att den hr mutationen skulle kunna undg immunitet, sger Rowland Manthorpe, korrespon...aftonbladet.se",,,1
,,,,,,,
Corona,Molly,@XMollyX15,2021-02-10T14:45:29.000Z,Keep cool! #lockdownverlaengerung #lockdown #Corona #COVID19,,,1
,,,,,,,
Corona,Anna Lippmann,@lippmann_anna,2021-02-10T14:45:04.000Z,"The danger of a single story.#corona #ted #chimamandangoziadichie #thedangerofasinglestory #kolonialismus #postkolonialismus #wahrheit #narration #pluralismusThe danger of a single storyOur lives, our cultures, are composed of many overlapping stories. Novelist Chimamanda Adichie tells the story of how she found her authentic cultural voice -- and warns that if we hear only a single...ted.com",,,
,,,,,,,
Corona,Riyadh Daily,@alriyadhdaily,2021-02-10T14:45:00.000Z,#Europe divided over 'vaccine passports'-http://alriyadhdaily.com/article/2d0315f7fee84ed59994f12517780936#vaccinated #COVID19 #Corona,,,
,,,,,,,
COVID19,Nic Lott,@NicLott,2021-02-10T14:49:17.000Z,"#Covid19 is mutating in such a way that its disguising itself to hide from antibodies. 3 branches of SARS-CoV-2 family tree have independently acquired some of same mutations despite emergng on 3 different continents.This is called convergent evolution.Worrisome New Coronavirus Mutations Are Emerging. Why Now?Across the globe, SARS-CoV-2 is evolving ways to evade the immune system and become more infectious. Blown pandemic response plans are to blame.wired.com",,,
,,,,,,,
COVID19,Behind the Brexit Wall #ProgressiveAlliance #3.5%,@quad_jonas,2021-02-10T14:49:17.000Z,"Replying to @PickardJEThe horses connection has plagued our country since the start of the #COVID19  pandemicCheltenham, March 2020""No evidence of spreading in crowds (sic)""",,,
,,,,,,,
COVID19,EIGE | #StopSexism,@eurogender,2021-02-10T14:49:15.000Z,Portuguese newspaper Publico  is reporting on EIGE's analysis of the economic and social effects of #COVID19. Young women with low skills or migrant women are disproportionately affected by the pandemic. Read the article in full here - https://bit.ly/3rprZdp,,,
,,,,,,,
COVID19,TheBritishConservative,@TheBCnewsOnline,2021-02-10T14:49:14.000Z,#AnthonyFauci claims that #masks must be worn until the treat of covid-19 is zero. If masks are inevitable this might discourage many from receiving the #vaccine. #USA #COVID19,,,
,,,,,,,
COVID19,"b""Alzheimer's Support",@AlzheimersSupp,2021-02-10T14:49:08.000Z,"Another great resource from @MusicforDemUK showing how #music relieves anxiety and makes everything better - including getting vaccinated for #COVID19 when you have #dementia @RUHBath @HWWilts @salisburygp @dowse_helen @NHSBSWCCGA dose of music with your COVID-19 vaccination - Music for DementiaWith our new guide, you can find out how music can be used to help alleviate COVID-19 jab anxiety for people living with dementia and others.musicfordementia.org.uk",,,
,,,,,,,
COVID19,Associated Physicians of Orange County,@APOCMed,2021-02-10T14:49:06.000Z, Click on the link in our bio to schedule your appointment!For consultations:  7144502263  consults@apocmed.com-Team APOC-#California #OrangeCounty #Health #covid19test #PCRtest #wearyourmask #safetyfirst #covid19 #healthtest #stayhome #StayAtHomeSaveLives #body,,,
,,,,,,,
Coronavirus,98.1 KMBZ Kansas City,@KMBZradio,2021-02-10T14:49:18.000Z,"KDHE sent a mobile lab to Hays, #Kansas after the UK #coronavirus variant was detected last week during routine testing of athletes at the school.No evidence of widespread UK virus variant in Kansas so farThe fast spreading UK strain of the coronavirus that first appeared in Kansas in a Fort Hays State University athlete may not have spread widely among the student body. Dr. Lee Norman, head of the...radio.com",,,
,,,,,,,
Coronavirus,Heirloom,@SendHeirloom,2021-02-10T14:48:58.000Z,"Sister Andr is the second-oldest person in the entire world. Shes about to turn 117 and has just survived #covid. This woman is incredible. #elderly #coronavirus @washingtonpostA French nun survived the Spanish flu and both world wars. Now shes beaten covid-19 days before...In the days leading up to her 117th birthday, Sister Andr survived covid and holds on to her title as second-oldest person alive.washingtonpost.com",,,
,,,,,,,
Coronavirus,Coronavirus Updates,@COVIDLive,2021-02-10T14:48:55.000Z,"2,088 new cases and 14 new deaths in Serbia [14:48 GMT] #coronavirus #CoronaVirusUpdate #COVID19 #CoronavirusPandemic",,,
,,,,,,,
Coronavirus,Chris Fry,@SocialistFry,2021-02-10T14:48:36.000Z,"This is a tweet to provoke scientists and raises the pressure on @BorisJohnson @RishiSunak No evidence of any vaccine resistant variants #coronavirusQuote TweetMark Harper@Mark_J_Harper  2h Vaccinating the top 9 vulnerability groups will reduce Covid deaths by 99% & Covid hospitalisations by about 80% - even offering protection from variants. After we have protected all those vulnerable people, what arguments remain to keep any legal restrictions in place? twitter.com/talkradio/stat",,,
,,,,,,,
Coronavirus,WORLD UPDATES #coronavirus disease 2019 (COVID-19),@WorldCOVID19,2021-02-10T14:48:34.000Z,"NORTHERN IRELAND.  Announced on WEDNESDAY.COVID-19 DEATHS SUMMARY. 4 further deaths have been recorded in Northern Ireland, bringing the total reported by the Department of Health to 1,957.#coronavirus disease 2019 (COVID-19) #COVID19   #UK #NorthernIreland",,,
,,,,,,,
Coronavirus,Donald J. Trump ,@DonaldJTrumpNY1,2021-02-10T14:48:33.000Z,Replying to @SenMikeShirkey and @GovWhitmerBiden #Covid_19 #coronavirus Rudy Giuliani BLM ANTIFA Proud Boys Capitol MAGA QAnon Pelosi NRA Trump Cruz Cheney Newt Lindsey Mitch McConnell Kyle Rittenhouse Kevin McCarthy Q-Anon Josh Air Force One Proof Marjorie Taylor Greene Postal Service Stabbed Rubio Aunt Jemima ZOOM I US,,,
